#     gamma 1             gamma 2            pos
-0.002350609384448281 -0.004440240561587936 [12, 9]
0.002926451959567345 -0.009987847662417192 [13, 9]
0.0023679321169686484 -0.005395911471726729 [14, 9]
-0.002166660711543651 0.004316799020405764 [15, 9]
-0.00075494112018028 0.0022886768846769926 [16, 9]
0.0034489972024721476 -0.0015916603735262466 [17, 9]
0.005710946752455625 0.016544953826420895 [18, 9]
0.009876255117186303 0.002573502910774966 [19, 9]
0.008456195644025192 0.0021726220245816825 [20, 9]
-0.0007067174142883739 -0.007964174110582296 [21, 9]
0.00336649132765024 5.62121713124513e-05 [22, 9]
-0.008612604127713667 -0.0004908949217176193 [23, 9]
-0.0036233472410755344 -0.009403686554534453 [24, 9]
-0.011551464072396584 0.011562521684817039 [25, 9]
0.003626976874164541 0.006003756439948175 [26, 9]
0.005492850497242339 -0.010687623946971448 [27, 9]
-0.0034149042069965495 0.001584766331397838 [28, 9]
0.006615803640652315 -0.0005745117494114001 [29, 9]
-0.001556079345651994 -0.011463537070171836 [30, 9]
0.0012677613896180503 -0.006169969395896425 [31, 9]
0.006816303537828797 -0.009908931182799913 [0, 10]
0.005164243621089882 0.002842756008089843 [1, 10]
0.008824031201557765 -0.008598346051714847 [2, 10]
0.0017618830843196727 0.01932612044240943 [3, 10]
0.0002349939018227973 -0.001526367090953519 [4, 10]
-0.0030648978257595562 -0.007445016135468896 [5, 10]
0.007910392509197048 0.019361433116373842 [6, 10]
-0.0012970606625392512 -0.0016031976392599533 [7, 10]
0.002588118733703428 -0.01672144812792448 [8, 10]
-0.0023489817724748666 0.0011077388171121102 [9, 10]
0.006677170343489818 0.0070106119450292275 [10, 10]
0.006845172377044564 -0.0055183551141756906 [11, 10]
0.0031682640334690366 -0.008565747296032357 [12, 10]
-0.005712358799063431 -0.011873959013961011 [13, 10]
0.0034027880186878823 -0.005856168176826129 [14, 10]
-0.001978992376466286 0.0002211739229644435 [15, 10]
0.0021725957335360186 -0.008284279897066482 [16, 10]
-0.0007928154307525738 -0.0028725269557112825 [17, 10]
-0.0012875636150565955 -0.002679809296628905 [18, 10]
-0.010614935070154631 -0.0009487376653580939 [19, 10]
0.007480080277114557 0.009999397280381444 [20, 10]
0.00519444279928629 0.010719929412326348 [21, 10]
0.005386217909915409 0.006406437757779745 [22, 10]
0.0050275902266569035 0.003273669601850875 [23, 10]
-0.0028694410889617897 -0.005611871301996825 [24, 10]
0.00017276766897039633 0.0069815360821511374 [25, 10]
0.0006253054920302479 0.003879969024227856 [26, 10]
