#    gamma 1               gamma 2           pos
-0.0029197244569152438 -0.001781625551730837 [4, 14]
-0.00036947419886061933 0.00977969544294235 [5, 14]
0.0011590009786316337 0.010820923672019062 [6, 14]
-0.02454803112500068 -0.008886656521244075 [7, 14]
-0.005628586588400986 -0.012570886375839531 [8, 14]
-0.0049006407224699185 0.02988595326269495 [9, 14]
0.0077221703153161295 -0.00325824749563304 [10, 14]
-0.01718067743149914 0.005676718912219142 [11, 14]
-0.00909263232976755 -0.002730560252087938 [12, 14]
0.017981659027195798 -0.0018370328618495296 [13, 14]
-0.0045106997260583965 0.006024316563482727 [14, 14]
0.014773694973543921 0.007801789867183537 [15, 14]
-0.001687842680038383 -0.001963756503188685 [16, 14]
-0.01388190059457632 0.01432763052008907 [17, 14]
0.0005066169016286975 0.005705406884066385 [18, 14]
-0.029817553797718506 -0.004789528493807367 [19, 14]
-0.010147702470253463 0.006648055448783269 [20, 14]
-0.008476366534925386 -0.0005829909390898403 [21, 14]
0.0026243865294627382 0.006107017482794998 [22, 14]
0.00850385867467087 0.007559336741326432 [23, 14]
-0.010331455861509855 0.018791458912161697 [24, 14]
-0.0011735033522295261 -0.004969479132178287 [25, 14]
-0.006036340333327188 0.017123283948276353 [26, 14]
-0.0036156920526560134 0.0057958512529893685 [27, 14]
0.004852588019478483 0.01076298406419039 [28, 14]
0.007718752481577096 0.029455488979086106 [29, 14]
-0.022884616529864833 -0.0056539162231895685 [30, 14]
-0.007214704160838905 -0.0005627570386586811 [31, 14]
0.020010424420080254 0.019701452509604672 [0, 15]
0.005263820976436771 0.011418478313490204 [1, 15]
0.013800442944295627 -0.001914576135315161 [2, 15]
0.0025907265986241873 0.002225342097961861 [3, 15]
-0.0023342867554760668 -0.004047010751909364 [4, 15]
-0.011926929735476197 -0.000446575238946524 [5, 15]
0.018002259694447596 0.0036567114355584144 [6, 15]
-0.0283186947170994 -0.01114302163093389 [7, 15]
-0.005769318704147743 0.01346724390815444 [8, 15]
-0.014385556852810615 -0.0021888483454423234 [9, 15]
0.008153460336150428 0.004252181557262137 [10, 15]
-0.005417731710798746 -0.020337934917825644 [11, 15]
-0.009005188522695025 -0.024684610620049757 [12, 15]
0.007090830164421502 0.02158518391913055 [13, 15]
-0.0033468881859590534 0.006000152278771435 [14, 15]
-0.011249927783309417 0.0031369488155005183 [15, 15]
-0.014797672434290834 -0.007403018938637526 [16, 15]
-0.01914921471893284 -0.0011750794386948223 [17, 15]
0.005692530817775083 -0.012692619631066283 [18, 15]
-0.003812102487298095 8.974287049148754e-05 [19, 15]
0.006153348280201719 -0.01105669425650666 [20, 15]
0.009044641203381396 0.013173484390768458 [21, 15]
0.008795663260244972 0.002178441689026213 [22, 15]
0.007486878895413543 -0.008337987198478723 [23, 15]
-0.010951662223959718 0.003841137865403369 [24, 15]
-0.008839309065169443 -0.009562206659641324 [25, 15]
-0.0032628873608800115 0.004043130162399364 [26, 15]
0.002183115704956229 -8.610493770353703e-05 [27, 15]
0.003757308334420013 0.015459216783607217 [28, 15]
-0.016344841947143154 -0.011133653419820196 [29, 15]
0.00918320089008295 -0.004312646163148888 [30, 15]
-0.002169912899251614 0.0020602982022027054 [31, 15]
0.0054859799016348096 -0.007021774892982366 [0, 16]
-0.005443545646585623 0.0009514167140066942 [1, 16]
0.01793992160276942 0.0005956365752253376 [2, 16]
-0.011126758226231404 -0.006097047059023651 [3, 16]
0.005422739873775113 -0.011177118514111616 [4, 16]
0.008014210390426279 0.014892385569292153 [5, 16]
-0.009919941822066425 -0.011384055205498187 [6, 16]
0.003658203919597702 0.004228137967532841 [7, 16]
-0.009582177245582538 0.0035444936225457165 [8, 16]
-0.010829637496187573 0.005817304161990572 [9, 16]
0.005855030183493383 0.005537727686628378 [10, 16]
