#     gamma 1            gamma 2              pos
-0.0001475459595458131 -0.005852254453205994 [19, 10]
-0.007930723534671821 0.016142301357826606 [20, 10]
-0.0011343408808213733 -5.197691934227552e-05 [21, 10]
-0.008267939916723092 -0.002235964949048333 [22, 10]
0.007892708546089852 0.019427265207799544 [23, 10]
0.007879720942778973 -0.007759047432828649 [24, 10]
-0.02445499182685655 -0.012753731294922247 [25, 10]
-0.0005770117201674089 0.0008009893131298187 [26, 10]
-0.002066280447200588 0.0031523033061428484 [27, 10]
-0.007260990097632732 0.005357944201478981 [28, 10]
-0.009800427488328241 0.005653258683076439 [29, 10]
-0.004759609273087122 0.009850935946622896 [30, 10]
0.005938170594288721 0.002716832221956795 [31, 10]
0.009962488794679373 0.0022426080938968774 [0, 11]
0.008513054657541916 -0.0014608857320598822 [1, 11]
-0.02354248274052318 -0.008831272171567057 [2, 11]
-0.02217355705424279 -0.0033549617860062606 [3, 11]
0.009571828833999253 0.00018070009838011078 [4, 11]
0.004055659894098709 0.005585038705266482 [5, 11]
0.003206075797372032 0.0018567001669370252 [6, 11]
0.008287608161987975 0.007956522759051031 [7, 11]
0.0026795996290377667 0.010478338410106825 [8, 11]
-0.021590847902692698 -0.0012029283216581377 [9, 11]
-0.019190867845661094 0.002371094997160406 [10, 11]
0.00190409078848712 -0.003559485994730367 [11, 11]
0.004527671527057244 0.010226018115053543 [12, 11]
-0.000908148191651537 3.5267294943059793e-06 [13, 11]
0.00786330123975938 -0.01851863275431803 [14, 11]
-0.0011798049571090507 -0.00288235201810177 [15, 11]
-0.0038304577488750624 0.013312747201428221 [16, 11]
-0.02107056183524947 0.015167600368479405 [17, 11]
-0.005501488129425275 0.001352442232284454 [18, 11]
-0.01080610866951064 0.0027799954281383195 [19, 11]
0.003316759464230922 0.008162463428065397 [20, 11]
-0.003542155963812638 -0.0006713670071052507 [21, 11]
-0.0027256172314481073 0.0016493777186447473 [22, 11]
-0.005119791057756149 -0.001443669542484493 [23, 11]
-0.0004152320091544722 0.014302344870347674 [24, 11]
0.007204112741963182 -0.0010346598734188273 [25, 11]
-0.005509310437275127 -0.005866146035219373 [26, 11]
-0.003446939285293136 0.007462803559991836 [27, 11]
-0.007633491092695584 -0.006148654952724993 [28, 11]
0.0052327964330814245 0.0014580013428763666 [29, 11]
0.0004426029702561697 0.0006959766539137351 [30, 11]
-0.0011017941591458893 0.00537951766929431 [31, 11]
0.003823531554176265 -0.004354874975233908 [0, 12]
0.004302976146144414 -0.013545608068288053 [1, 12]
-0.0017737668587161318 -0.000853305601647597 [2, 12]
0.012093948230064133 0.007310969730218019 [3, 12]
-0.0005273536746899621 -0.007721689457130989 [4, 12]
-0.0016261902147903483 -0.011651577051053586 [5, 12]
-0.012688529010494517 0.0046870357544871386 [6, 12]
0.013094238089257915 -0.00952561577130529 [7, 12]
-0.010908037579047763 0.006532981210461711 [8, 12]
0.00958291794786893 0.006915073757988518 [9, 12]
0.0014898659865110735 0.0022401650465316537 [10, 12]
0.0031102881483726936 0.021983236575227307 [11, 12]
0.0021365473238096127 0.005867932771783877 [12, 12]
-0.003741774176494557 0.001670430284315407 [13, 12]
